song_number,artist_familiarity,artist_hotttnesss,artist_id,artist_mbid,artist_playmeid,artist_7digitalid,artist_latitude,artist_longitude,artist_location,artist_name,release,release_7digitalid,song_id,song_hotttnesss,title,track_7digitalid,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,year
10,0.3600311664643514,0.29626895431146333,b'ARGSJW91187B9B1D6B',b'eb722df4-372e-4742-8586-f7ff658012d6',-1,60488,35.21962,-80.01955,b'North Carolina',b'JennyAnyKind',b'I Need You',539081,b'SOQHXMF12AB0182363',0.0,b'Young Boy Blues',5967937,22050,b'028c11fd932f96f85cd550ae50a1b188',0.0,218.77506,2.125,0.0,5,0.354,-10.021,0,0.485,207.012,146.765,1,0.0,b'TRAAAVO128F93133D4',0
11,0.5451592956008632,0.35155586118563925,b'ARC43071187B990240',b'001a1d90-56dc-4992-bd7d-970ecd7105d0',17334,4923,nan,nan,"b'Wisner, LA'",b'Wayne Watson',b'The Way Home',163874,b'SOKEJEJ12A8C13E0D0',0.26586104921065007,b'The Urgency (LP Version)',1735859,22050,b'f853c665c52f2ea69211840de3ba07e1',0.0,245.21098,0.357,0.0,7,0.07,-7.545,1,0.686,227.48,117.975,4,0.835,b'TRAABCL128F4286650',0
12,0.5775089743252977,0.3794821702804675,b'ARL7K851187B99ACD2',b'572d6bb7-58cc-4a96-8e5c-58eae4739190',14303,88523,nan,nan,b'',b'Andy Andy',b'Placer & Castigo',575792,b'SOMUYGI12AB0188633',0.0,b'La Culpa',6381162,22050,b'8f298a84c01d4892d820ff54104b7df8',0.0,226.35057,0.0,0.0,9,0.205,-6.632,1,0.305,221.553,130.04,4,0.0,b'TRAABDL12903CAABBA',0
13,0.08551204710857879,0.25193652476242323,b'ARHHO3O1187B989413',b'e870caaf-3650-4ed8-9ca1-1ac36419abb0',-1,327171,nan,nan,b'',b'Bob Azzam',b'Arrivederci',815863,b'SORAMLE12AB017C8B0',0.0,b'Auguri Cha Cha',9014963,22050,b'1d67443d1dcad563e814414dd684b48e',0.0,191.84281,0.38,0.0,10,0.0,-7.75,0,0.198,188.424,137.334,1,0.319,b'TRAABJL12903CDCF1A',0
14,0.7766758556845541,0.5530719914619753,b'ARIK43K1187B9AE54C',b'3cb25fb2-5547-4b05-adec-1a5e37830d46',-1,237,nan,nan,"b'Beverly Hills, CA'",b'Lionel Richie',b'Dancing On The Ceiling',25811,b'SOBONFF12A6D4F84D8',nan,b'Tonight Will Be Alright',276438,22050,b'e21ebf6e182f2164b43c4f68e27e6f6a',0.0,307.3824,0.612,0.0,3,0.524,-8.346,1,0.533,296.658,125.197,3,0.211,b'TRAABJV128F1460C49',1986
15,0.6364236449500698,0.4479354804795022,b'ARD842G1187B997376',b'6b52e1be-f27a-433c-b51a-3f2d63abc2ba',-1,3950,43.64856,-79.38533,"b'Toronto, Ontario, Canada'",b'Blue Rodeo',b'Outskirts',135122,b'SOHUOAP12A8AE488E9',0.4051157216913865,b'Floating',1399936,22050,b'b2561c848c67cc8446b1433c6939addd',0.0,491.12771,0.0,0.0,7,1.0,-8.576,1,0.829,486.034,119.826,4,0.756,b'TRAABLR128F423B7E3',1987
16,0.4199431484349393,0.33080635685585685,b'ARIG6O41187B988BDD',b'9f6413ef-4320-4833-87be-3ad1d3bf238f',18135,24687,37.16793,-95.84502,b'United States',b'Richard Souther',b'Cross Currents',149958,b'SOUQQEA12A8C134B1B',0.3347065490692206,b'High Tide',1560940,22050,b'0b9438d5b97d76022744eece3862605e',0.0,228.5971,0.223,0.0,8,0.041,-16.11,1,0.516,217.426,127.756,5,0.579,b'TRAABNV128F425CEE1',0
17,0.3632805711099885,0.30667609347902947,b'AR1ZHYZ1187FB3C717',b'762e2728-f093-4548-8f36-f4580d83e207',-1,248913,nan,nan,b'',b'Faiz Ali Faiz',b'Panjtan Ka Ghulam',535188,b'SOILPQQ12AB017E82A',nan,b'Sohna Nee Sohna Data',5916675,22050,b'f24a29ab18aaa7c0dcd3527af0aff68f',0.0,599.24853,1.193,0.0,6,0.06,-8.032,1,0.346,591.999,99.273,4,0.158,b'TRAABRB128F9306DD5',0
18,0.7071997638379363,0.5134632897021558,b'ARYKCQI1187FB3B18F',b'eeacb319-8d4c-48e0-80a0-944e71c375bf',7536,1396,nan,nan,b'',b'Tesla',b'Gold',372309,b'SOXLBJT12A8C140925',0.6841361912294903,b'Caught In A Dream',4143071,22050,b'3e57f1f9670a3aa3bd8901e6eee32149',0.0,290.29832,0.145,0.0,7,0.725,-5.271,1,0.756,285.605,150.062,4,0.931,b'TRAABVM128F92CA9DC',2004
19,0.32031437017067216,0.0,b'ARNPAGP1241B9C7FD4',b'',-1,399889,nan,nan,b'',b'lextrical',b'Whatever Happened To Boredom?',541101,b'SOZVMJI12AB01808AF',0.0,b'Synthetic Dream',5991843,22050,b'3bb031ff1cff6593efa7c768cfa90d22',0.0,165.69424,0.162,0.0,7,0.011,-6.787,1,0.568,157.391,138.331,4,0.127,b'TRAABXG128F9318EBD',0
20,0.39413853984589253,0.29153972708877773,b'ARQGYP71187FB44566',b'0b8f67b3-b1d8-4d7a-8317-9d2e7e1cb277',156926,34818,34.31109,-94.02978,"b'Mineola, AR'",b'Jimmy Wakely',b'1942-1952 Jimmy Wakely',605134,b'SOWTBJW12AC468AC6E',nan,b'Broken-Down Merry-Go-Round',6721979,22050,b'3ed412aed58a32b2b8354d02a48c88c3',0.0,151.84934,2.827,0.0,1,0.799,-15.221,1,0.716,146.199,86.186,3,0.929,b'TRAABYN12903CFD305',0
21,0.4898162689820407,0.3285530150180186,b'ARI3BMM1187FB4255E',b'c5bca5a8-1357-4f4c-8544-b36c814ff6d6',-1,185559,38.8991,-77.029,b'Washington',b'Alice Stuart',b'All The Good Times',239740,b'SOBEBDG12A58A76D60',0.0,b'Kassie Jones',3006504,22050,b'8125cbddb7b46628dbd8af0dcfdd5611',0.0,220.78649,0.206,0.0,11,0.809,-8.514,1,0.521,207.656,110.382,1,0.192,b'TRAABYW128F4244559',0
22,0.6774204652262298,0.37825468551016656,b'AR5KOSW1187FB35FF4',b'd3cc4c24-1b5b-4d71-bcc9-1940e0e3e9d3',34776,69720,49.80388,15.47491,b'Dubai UAE',b'Elena',b'Un cafe_ setanta matins',386995,b'SOZCTXZ12AB0182364',0.3135621142479342,b'Setanta matins',4292004,22050,b'47d2c68a4eaf1c7ed8a1fffc9f9c186e',0.0,269.58322,0.0,0.0,2,0.596,-8.05,1,0.666,256.168,111.874,4,1.0,b'TRAACCG128F92E8A55',0
23,0.839962768151037,0.5418889720336469,b'ARMAC4T1187FB3FA4C',b'1bc41dff-5397-4c53-bb50-469d2c277197',11414,82239,40.82624,-74.47995,"b'Morris Plains, NJ'",b'The Dillinger Escape Plan',b'Miss Machine',223365,b'SOBBUGU12A8C13E95D',0.6665278462297023,b'Setting Fire to Sleeping Giants',2439720,22050,b'8c987e191b479de914ece0ece1f8fb9e',0.0,207.77751,0.061,0.0,7,0.381,-4.264,1,0.453,204.696,166.862,4,0.0,b'TRAACER128F4290F96',2004
24,0.43541581815506936,0.3062422642462862,b'AR47JEX1187B995D81',b'7994b392-4b14-4b06-b591-fd8b0ad65338',-1,36525,37.83721,-94.35868,"b'Nevada, MO'",b'SUE THOMPSON',b'Sue Thompson - Her Very Best',652784,b'SOBLGCN12AB0183212',0.4952936212921635,b'James (Hold The Ladder Steady)',7232396,22050,b'aa483bfe099a6beffc240c997339d9e7',0.0,124.86485,0.0,0.0,10,0.697,-12.332,1,0.541,115.74,137.522,4,0.0,b'TRAACFV128F935E50B',1985
25,0.6090637000310501,0.3636513650591166,b'ARGIWFO1187B9B55B7',b'34f4bdc2-ed51-44da-af51-7e507d9d4721',-1,14773,nan,nan,b'',b'Five Bolt Main',b'Live',45730,b'SOPSWQW12A6D4F8781',0.37598430150044215,b'Made Like This (Live)',488005,22050,b'34cf2dce6d6408286cfd65a31dc60194',0.0,225.09669,0.0,0.0,7,0.53,-5.908,1,0.512,225.097,164.672,1,0.0,b'TRAACHN128F1489601',0
26,0.5505136978482137,0.42270564102939107,b'ARNTLGG11E2835DDB9',b'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec',-1,242273,nan,nan,b'',b'Clp',b'Strictly Confidential',672016,b'SOZQDIU12A58A7BCF6',nan,b'Superconfidential',7448953,22050,b'bbf8a75f1dbb47d62a9938b2c686a7c3',0.0,338.31138,0.0,0.0,6,0.687,-6.486,0,0.486,338.311,125.006,4,1.0,b'TRAACIW12903CC0F6D',0
27,0.4597971288376104,0.3499126116745628,b'ARDNS031187B9924F0',b'e29641cc-3658-4886-89d7-3a146d2d3d75',7570,14504,32.67828,-83.22295,b'Georgia',b'Tim Wilson',b'The Real Twang Thang',160881,b'SONYPOM12A8C13B2D7',nan,b'I Think My Wife Is Running Around On Me (Taco Hell)',1699837,22050,b'ebebdcfecb78adaf47a1860e55d5c50d',0.0,186.48771,1.083,0.0,5,0.762,-4.516,1,0.539,175.467,90.022,1,0.971,b'TRAACLV128F427E123',2005
28,0.5888271005018058,0.3796711247498673,b'AROUOZZ1187B9ABE51',b'dadec058-023e-498a-b1c7-776d03cc88ce',-1,15815,40.79195,-73.94512,"b'New York, NY [Spanish Harlem]'",b'Willie Bobo',"b""Willie Bobo's Finest Hour""",59744,b'SOBZBAZ12A6D4F8742',nan,b'Spanish Grease',618725,22050,b'784d7f50a1179d0fad2e771d125fc749',0.0,168.25424,0.2,0.0,8,0.812,-9.616,1,0.736,161.89,127.025,4,0.792,b'TRAACNS128F14A2DF5',1997
29,0.3964552539172961,0.2992303679293693,b'ARH4Z031187B9A71F2',b'8f2974e0-3647-48f6-86f8-603a2c5f31ae',70806,28882,40.73197,-74.17418,"b'Newark, NJ'",b'Faye Adams',b'Shake A Hand',373723,b'SOVYKGO12AB0187199',0.0,b'Crazy Mixed Up World',5660441,22050,b'07b11c250326d20b7c5c2538f56066b5',0.0,156.39465,0.562,0.0,8,0.569,-18.051,1,0.495,150.634,95.957,3,0.689,b'TRAACOW128F933E35F',1961
30,0.7068276713044582,0.4161730646266773,b'ARB29H41187B98F0EF',b'44fd61e1-119c-479e-8301-8ac5c77148bf',43725,9947,41.88415,-87.63241,b'Chicago',b'Terry Callier',b'Occasional Rain',228326,b'SOGNCJP12A58A80271',0.4137398358601097,b'Do You Finally Need A Friend',2503960,22050,b'1bcc5424889fa52e636b6ff801100c24',0.0,342.56934,0.063,0.0,6,0.381,-11.939,1,0.538,333.154,110.189,3,0.353,b'TRAACPE128F421C1B9',1972
31,0.5605579839038146,0.45278947675222264,b'AR1Y2PT1187FB5B9CE',b'84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab',-1,343187,27.94017,-82.32547,b'Brandon',b'John Wesley',b'The Emperor Falls',463514,b'SOLLHMX12AB01846DC',0.3775316449767025,b'The Emperor Falls',5158927,22050,b'cb3a96380f2084aa94f38ca0d473d847',0.0,484.62322,28.172,0.0,4,0.283,-15.335,0,0.363,480.363,138.007,4,0.893,b'TRAACQT128F9331780',0
32,0.6408071019636729,0.4182165181949368,b'ARAJPHH1187FB5566A',b'91d01e5f-252d-469d-a16a-12c613e48e5d',2995,14045,40.7038,-73.83168,"b'Queens, NY'",b'The Shangri-Las',b'Best of The Shangri-Las',643400,b'SOYTPEP12AB0180E7B',0.4432913119053975,b'Twist and Shout',7133415,22050,b'519e4222be254d9848224a99cee7511a',0.0,164.80608,0.0,0.0,10,0.254,-10.922,1,0.042,156.177,130.1,1,0.0,b'TRAACSL128F93462F4',1964
33,0.5237146369702328,0.3846110839616365,b'AR0RCMP1187FB3F427',b'615d51ca-3d06-43dc-b956-4d76099f4b5e',56462,16838,30.08615,-94.10158,"b'Beaumont, TX'",b'Billie Jo Spears',b'20 Of Her Best',663761,b'SOGXHEG12AB018653E',0.0,b'It Makes No Difference Now',7357260,22050,b'8b99765c6ea21c447b787845282bd16b',0.0,133.32853,0.0,0.0,4,0.384,-9.983,1,0.402,130.009,160.839,1,0.0,b'TRAACTB12903CAAF15',1992
34,0.7936050803712417,0.42631795640769016,b'AREBBGV1187FB523D2',b'7685015d-bd3b-4888-9020-3288c421cc9f',2567,9222,nan,nan,"b'Houston, TX'","b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",b'Who Is Mike Jones?',12882,b'SOOLYAZ12A6701F4A6',nan,b'Laws Patrolling (Album Version)',133966,22050,b'bff34ce1d6c7b9f71ee7b5737e9ec741',0.0,173.66159,0.0,0.0,7,0.299,-7.762,1,0.464,164.908,41.993,1,0.0,b'TRAACVS128E078BE39',0
35,0.5015447771039371,0.39273367554668775,b'ARGUVEV1187B98BA17',b'017f5df4-c30c-4799-95f7-997bd5b88df7',185183,107468,nan,nan,b'',b'Sierra Maestra',b'Tibiri Tabara',270281,b'SOGOSOV12AF72A285E',nan,b'\xc2\xbfD\xc3\xb3nde va Chichi?',3003122,22050,b'26b62d8f58664a9fce20a58c9c296fc9',0.0,313.12934,0.0,0.0,9,0.724,-9.512,1,0.364,307.688,189.646,3,0.674,b'TRAACZK128F4243829',1997
36,0.8093237930019529,0.48801984168567314,b'ARPQ4Z01187FB3A736',b'2339bc21-aa92-4850-86f0-4bb9433910c8',110955,16860,29.42449,-98.49462,"b'San Antonio, TX'",b'Butthole Surfers',b'Piouhgd + Widowermaker!',244586,b'SOJXVAH12A8C139700',0.593943075901947,"b'Barking Dogs (From ""Piouhgd"")'",2788206,22050,b'206108fa28f21272fb5502be54119f78',0.0,450.84689,0.467,0.0,4,0.726,-9.063,0,0.367,426.104,130.586,4,0.42,b'TRAADDS128F425C68B',0
37,0.632559542284651,0.41168895978577885,b'ARNQAVF11F4C844C04',b'',447,45784,nan,nan,b'',b'Despina Vandi',b'Profities',157648,b'SOVXMTN12A8C135A18',nan,b'OUTE ENA EFHARISTO',1658618,22050,b'97d776fe6da052dcdd7244901af7ec04',0.0,303.09832,0.067,0.0,8,0.532,-8.879,0,0.516,294.818,128.292,4,0.83,b'TRAADED128F42741FD',0
38,0.5975412179723806,0.38265197113973687,b'ARXUT4W1187FB48BEB',b'e927aaaa-323e-4f90-952d-b420212191b2',-1,34461,nan,nan,b'',b'Javier Navarrete',b'Cracks',644631,b'SORSECL12AB0182267',0.3943948561005826,b'Midnight Swim',7143933,22050,b'3424e5e202aba39cb777a4d532abd2ff',0.0,128.83546,0.0,0.0,3,0.0,-17.699,1,0.251,121.423,90.932,3,1.0,b'TRAADEV128F9348C0A',0
39,0.49544592177023467,0.294861261887382,b'ARDD1RC1187B9B52B4',b'5665cefe-8f12-4328-b66b-2f62644be484',-1,125706,nan,nan,b'',b'Jacob Young',b'Pieces Of Time',730551,b'SOOGFBZ12AC3DF7FF2',0.0,b'In A Subtle Way',8093189,22050,b'ee563dc9b78a4d9f39edc3431f014093',0.0,456.30649,0.241,0.0,1,0.611,-19.478,1,0.546,451.315,89.667,4,0.747,b'TRAADHS12903CE70A9',0
40,0.5278650761586818,0.3931219335710068,b'ARLGWFM1187FB4AC9F',b'575122b0-bdba-442d-891c-8a8b2999aa98',-1,527722,34.05349,-118.24532,b'California - LA',"b""Scarlet's Remains""",b'The Palest Grey',709879,b'SOMSBGZ12AB018C4CB',0.450992311636255,b'Spin',7872290,22050,b'2fb63b556f85dcfba3ed11b688ba953e',0.0,198.73914,0.0,0.0,7,0.673,-7.469,1,0.579,193.016,115.061,4,0.731,b'TRAADIV12903CB15C1',2007
41,0.6686745328613157,0.4675384440100101,b'ARWYVP51187B98C516',b'c6d2cbdf-30e7-4233-a1b4-e892f116ada1',-1,240277,42.33168,-83.04792,"b'Detroit, MI'",b'The Suicide Machines',b'A Match & Some Gasoline',706005,b'SONYRZV12AB018AF70',0.5287824809425877,b'Burning In The Aftermath',7830058,22050,b'1471d168999432ec6360889940e3e0e1',0.0,95.68608,0.0,0.0,2,0.421,-2.022,1,0.589,87.806,115.887,4,0.744,b'TRAADLH12903CA70EE',2003
42,0.8148296561331122,0.7357656929506414,b'ARFCUN31187B9AD578',b'b071f9fa-14b0-4217-8e97-eb41da73f598',10490,522,51.50632,-0.12714,"b'London, England'",b'The Rolling Stones',"b""Jump Back - The Best Of The Rolling Stones_ '71-'93""",42595,b'SONQBUB12A6D4F8ED0',0.8344926198909054,b'Angie (1993 Digital Remaster)',453879,22050,b'7bbefe182a5d8a70b5b72a64a14f6c1b',0.0,271.49016,0.171,0.0,9,0.301,-10.358,0,0.392,263.784,139.333,1,0.0,b'TRAADLN128F14832E9',0
43,0.4823560425909108,0.3500785789894733,b'AR6YDKV1187B989230',b'a3bbee3c-ef45-43e7-bf4f-ba0f871ea716',-1,176139,nan,nan,b'',b'Roberto Torres',b'Lo Mejor con La Orq. Broadway',782470,b'SOHGKJW12AC468A8BD',0.0,b'Sabor Guajiro',8653966,22050,b'b568d4f2a491bec936881d13e965c1dd',0.0,226.66404,0.311,0.0,0,0.863,-12.716,1,0.671,219.51,117.271,4,0.453,b'TRAADLR12903CF8D7E',0
44,0.6610801676039384,0.4427658420289504,b'ARV1JVD1187B9AD195',b'3ddc1fe4-0abb-4af0-9392-e36720386842',14418,16308,35.91463,-79.05661,"b'Chapel Hill, NC'",b'Loudon Wainwright III',b'Grown Man',28723,b'SOINBCU12A6D4F94C0',0.5101193140330347,b'Human Cannonball',315300,22050,b'b477cf436c14e093b3fef949d18932c0',0.0,190.48444,0.258,0.0,3,0.544,-15.663,1,0.596,177.029,102.428,4,0.496,b'TRAADLX128F1469250',1995
45,0.7011808736075507,0.4666288889016846,b'AR7TTS41187B9B42D3',b'355eed00-6c40-4d33-940a-600b2597407a',26588,6186,34.36401,-89.51877,"b'Oxford, MS'",b'R.L. Burnside',b'A Bothered Mind',557761,b'SOTWVQT12A58A79650',0.48213758506501503,b'Glory Be',6169318,22050,b'ff6a3b61c73903e886d364ac05531d51',0.0,277.78567,0.24,0.0,2,0.0,-6.944,1,0.0,267.453,89.984,4,0.0,b'TRAADMH128F9343E59',2004
46,0.7337989404362274,0.544257505724526,b'ART3O5Z1187B9AB043',b'f5426431-f490-4678-ad44-a75c71097bb4',9729,48814,32.77815,-96.7954,"b'Dallas, TX'",b'Stevie Ray Vaughan',b'Greatest Hits',417945,b'SOTSEJY12AB0180F56',nan,b'Crossfire',4659073,22050,b'a77e2966eaa31170f28ece01fcee24b4',0.0,248.78975,0.183,0.0,1,0.754,-7.805,1,0.597,246.19,116.721,4,0.522,b'TRAADNA128F9331246',1992
47,0.5906929179471623,0.45281783769711387,b'AR5U94U1187FB5CDCF',b'd83e599c-2d5a-44ec-b727-587e1455b1b5',7350,39546,nan,nan,b'',b'John Hammond',b'Bluesman',575531,b'SOTSETT12AB01863B8',nan,"b""I Can't Be Satisfied""",6378564,22050,b'8bd7911d74bd9afce01290bad03d195d',0.0,195.3171,0.0,0.0,7,0.98,-10.7,1,0.753,187.617,123.142,4,0.678,b'TRAADOF12903CAA1C1',2002
48,0.6653221619060184,0.3942171989010042,b'ARRJNTE1187FB44E12',b'73d882c7-1146-4012-a61b-a3b2c11fce2f',-1,48409,nan,nan,b'',b'Casiotone For The Painfully Alone',b'Etiquette',234425,b'SOTUNMH12A6D4FA3E6',0.7858922883883538,b'Nashville Parthenon',2573759,22050,b'1bb9cb115bdcbad912cb3bea9facb2b8',0.0,175.72526,0.734,0.0,0,0.522,-10.93,1,0.474,168.699,141.919,4,0.445,b'TRAADQX128F422B4CF',2006
49,0.5040756699303163,0.3345773601190987,b'AR6IRG41187B9A4D98',b'168e3ccd-91f5-480c-970a-b35171c71164',-1,7171,52.51607,13.37698,"b'Berlin, Germany'",b'Ec8or',b'Ec8or',505301,b'SOEPPKB12AB018418B',nan,b'Cocain Ducks',5591305,22050,b'7b3f44c5a55e1ad736d334901f18fe5e',0.0,217.23383,1.042,0.0,10,0.005,-9.493,0,0.305,213.496,95.596,4,1.0,b'TRAADRN128F932D607',1995
50,0.717670524728552,0.4793084593382274,b'ARS1OWB1187B99EEAD',b'1b96b9c9-0832-40cb-9f8d-7274de3733fc',5379,24313,nan,nan,"b'New York, NY'",b'The New York Dolls',b'Too Much Too Soon',74655,b'SOGKIWV12A6D4F86C4',0.5616924111789523,b'Human Being',770031,22050,b'432aa5b29f21533b447d37363bab6705',0.0,344.05832,0.068,0.0,11,0.425,-9.253,1,0.486,335.029,154.953,1,0.0,b'TRAADVH128EF34DE7A',1974
51,0.6697261875661445,0.42791424698295477,b'ARGMXQW1187FB54C34',b'9974cbc1-6a00-4a97-8a36-e4a25bfe0293',14229,2800,-23.56287,-46.65466,"b'Sao Paulo, Brazil'",b'Eliane Elias',b'Bossa Nova Stories',322532,b'SOPHYIS12AAF3B35A3',0.4348380902608562,b'The More I See You',3635000,22050,b'61c1d3f9dc9caf347132097986f1618d',0.0,251.42812,0.071,0.0,7,0.391,-12.009,1,0.319,237.598,86.091,5,0.551,b'TRAADYB128F92D7E73',2009
52,0.5697411522818971,0.41224060053560735,b'AROEL1B1187B988B90',b'8b70d4d9-b3d3-4a99-8a95-96ee59f12140',-1,10275,nan,nan,"b'South Jamaica, Queens'",b'Lost Boyz',b'Love_ Peace & Nappiness',14592,b'SOFHBAR12A6701D0FE',0.4051157216913865,b'Certain Things We Do',151792,22050,b'c9bd47047417a4003783ffde156efb6f',0.0,269.7922,0.218,0.0,7,0.715,-11.043,1,0.614,257.416,90.218,4,1.0,b'TRAADYI128E078FB38',1997
53,0.6400483571565447,0.40439264015477133,b'AR8W8DN1187FB35ED0',b'42c4b58d-2e28-41d4-bfe5-4edee68386cf',-1,104787,34.05349,-118.24532,"b'Los Angeles, CA'",b'The Germs',b'Germicide',515081,b'SOCPRKM12AB018A2FD',nan,b'Forming',5714272,22050,b'94bd349c13024d5ac83064e4fed31fd7',0.0,206.05342,0.0,0.0,11,0.641,-11.506,0,0.597,206.053,133.144,1,0.0,b'TRAAEAM128F934B199',1977
54,0.3977728757878008,0.38347574490669173,b'ARUWLCL1187FB549B8',b'b0288f97-71d3-4fa2-8379-e482c4d97e95',147394,264183,nan,nan,b'',b'Yamandu Costa',b'Mafu\xc3\xa1',765750,b'SOFGHAM12AB0186412',nan,b'Mafu\xc3\xa1',8478956,22050,b'd513e317cb700731da236983b6c235a3',0.0,190.04036,0.0,0.0,2,0.105,-14.179,1,0.433,176.924,205.317,4,0.0,b'TRAAEDJ12903CCE390',0
